trade_idx,id,source,coin,direction,entry_time,pnl_usd,win,macro,ema_4h,coin_wr,entry_dist,rsi_ok,ob_confirms,funding_contrarian,score,n_valid_factors
59,60,okx,CRV,SHORT,2026-04-12 09:38:29.550709+00:00,335.20500000000027,1,0,1.0,1.0,1,1.0,,,4,5
60,61,okx,SOL,SHORT,2026-04-12 20:39:29.694097+00:00,-6.900000000000033,0,0,1.0,,1,1.0,,,3,4
61,62,okx,BNB,SHORT,2026-04-12 20:39:29.694174+00:00,-5.8100000000001275,0,0,1.0,,1,1.0,,,3,4
62,63,okx,JUP,SHORT,2026-04-12 21:01:16.025367+00:00,2.8737499999998515,1,0,,,1,,,,1,2
63,64,okx,PENDLE,SHORT,2026-04-12 21:28:30.925318+00:00,7.315400000000017,1,0,1.0,,1,1.0,,,3,4
64,65,okx,ETH,LONG,2026-04-12 22:32:56.518321+00:00,-1.45200000000008,0,1,0.0,,1,1.0,,,3,4
65,67,okx,ETH,SHORT,2026-04-12 23:52:52.769648+00:00,-3.317599999999984,0,0,1.0,,1,1.0,,,3,4
66,66,okx,JUP,SHORT,2026-04-12 23:52:52.770239+00:00,-6.836499999999952,0,0,,,1,,,,1,2
67,68,okx,LINK,LONG,2026-04-12 23:52:52.770375+00:00,2.2359999999999522,1,1,0.0,,1,1.0,,,3,4
68,79,okx,JUP,LONG,2026-04-13 00:29:05.549208+00:00,6.897000000000013,1,1,,,1,,,,2,2
69,69,okx,PENDLE,LONG,2026-04-13 00:29:05.549702+00:00,2.1297999999999715,1,1,0.0,,1,1.0,,,3,4
70,71,okx,ADA,SHORT,2026-04-13 00:29:05.549857+00:00,-2.8657999999999118,0,0,1.0,,1,1.0,,,3,4
71,70,okx,PENDLE,SHORT,2026-04-13 00:34:07.183038+00:00,1.666800000000022,1,0,1.0,,1,1.0,,,3,4
72,72,okx,LINK,SHORT,2026-04-13 00:34:07.183790+00:00,-1.173899999999945,0,0,1.0,,1,1.0,,,3,4
73,73,okx,ETH,LONG,2026-04-13 00:34:07.183880+00:00,1.54,1,1,0.0,,1,1.0,,,3,4
74,74,okx,PENDLE,LONG,2026-04-13 00:54:18.652304+00:00,3.2409999999998487,1,1,0.0,1.0,1,1.0,,,4,5
75,75,okx,PENDLE,SHORT,2026-04-13 01:04:33.751446+00:00,-1.7594000000000116,0,0,1.0,1.0,1,1.0,,,4,5
76,76,okx,ETH,SHORT,2026-04-13 01:04:33.752223+00:00,1.73799999999992,1,0,1.0,0.0,1,1.0,,,3,5
77,77,okx,LINK,LONG,2026-04-13 01:04:33.752310+00:00,0.22359999999997537,1,1,0.0,,1,1.0,,,3,4
78,78,okx,ADA,LONG,2026-04-13 01:04:33.752379+00:00,0.0,0,1,0.0,,1,1.0,,,3,4
79,80,okx,ADA,SHORT,2026-04-13 01:35:02.474741+00:00,0.0,0,0,1.0,,1,1.0,,,3,4
80,81,okx,LINK,SHORT,2026-04-13 01:35:02.475166+00:00,-1.006200000000038,0,0,1.0,1.0,1,1.0,,,4,5
81,82,okx,ETH,LONG,2026-04-13 01:35:02.475270+00:00,0.11440000000009604,1,1,0.0,0.0,1,1.0,,,3,5
82,83,okx,JUP,SHORT,2026-04-13 02:02:57.547149+00:00,2.5410000000000226,1,0,,1.0,1,,,,2,3
83,88,okx,JUP,LONG,2026-04-13 02:07:57.644553+00:00,-7.19949999999998,0,1,,1.0,1,,,,3,3
84,84,okx,ETH,SHORT,2026-04-13 02:07:57.645373+00:00,1.8567999999999119,1,0,1.0,1.0,1,1.0,,,4,5
85,85,okx,LINK,LONG,2026-04-13 02:07:57.645452+00:00,0.0,0,1,0.0,0.0,1,1.0,,,3,5
86,87,okx,ADA,LONG,2026-04-13 02:07:57.645523+00:00,-6.959800000000029,0,1,0.0,0.0,1,1.0,,,3,5
87,86,okx,ETH,LONG,2026-04-13 02:28:11.435163+00:00,0.413600000000024,1,1,0.0,1.0,1,1.0,,,4,5
88,89,okx,ETH,SHORT,2026-04-13 02:38:15.287270+00:00,2.534400000000096,1,0,1.0,1.0,1,1.0,,,4,5
89,90,okx,LINK,SHORT,2026-04-13 02:38:15.289887+00:00,2.906800000000077,1,0,1.0,0.0,1,1.0,,,3,5
90,91,okx,ADA,SHORT,2026-04-13 03:03:32.681240+00:00,-0.8188000000000235,0,0,1.0,0.0,1,1.0,,,3,5
91,92,okx,LINK,LONG,2026-04-13 03:08:36.177804+00:00,-0.9502999999999697,0,1,0.0,0.0,1,1.0,,,3,5
92,93,okx,ETH,LONG,2026-04-13 03:08:36.178050+00:00,1.456399999999976,1,1,0.0,1.0,1,1.0,,,4,5
93,94,okx,ETH,SHORT,2026-04-13 03:38:55.391914+00:00,0.915199999999968,1,0,1.0,1.0,1,1.0,,,4,5
94,95,okx,LINK,SHORT,2026-04-13 03:38:55.394535+00:00,-0.16770000000000634,0,0,1.0,0.0,1,1.0,,,3,5
95,96,okx,UNI,LONG,2026-04-13 04:07:08.362616+00:00,2.208000000000002,1,1,0.0,,1,1.0,,,3,4
96,97,okx,LINK,LONG,2026-04-13 04:14:46.380079+00:00,0.8385000000000318,1,1,0.0,0.0,1,1.0,,,3,5
97,100,okx,ETH,LONG,2026-04-13 04:14:46.381144+00:00,-2.5387999999999917,0,1,0.0,1.0,1,1.0,,,4,5
98,98,okx,ADA,SHORT,2026-04-13 04:29:53.923378+00:00,-1.637600000000047,0,0,1.0,0.0,1,1.0,,,3,5
99,99,okx,LINK,SHORT,2026-04-13 04:45:04.908046+00:00,1.453399999999989,1,0,1.0,0.0,1,1.0,,,3,5
100,101,okx,ADA,SHORT,2026-04-13 04:55:11.275996+00:00,-1.2281999999999784,0,0,1.0,0.0,1,1.0,,,3,5
