coin,strategy,sl_mult,rr,hold_bars,trades,wins,wr,total_pnl,avg_pnl,pf,max_consec_loss,sharpe
BTC,BTC_FOLLOW,0.7,1.8,2,1189,508,42.7,-49.76,-0.0419,0.913,10,-0.0374
BTC,BTC_FOLLOW,0.7,1.8,3,1041,409,39.3,-66.11,-0.0635,0.889,12,-0.0506
BTC,BTC_FOLLOW,0.7,1.8,4,964,375,38.9,-67.61,-0.0701,0.883,12,-0.0543
BTC,BTC_FOLLOW,0.7,2.0,1,1613,696,43.1,-26.96,-0.0167,0.953,10,-0.018
BTC,BTC_FOLLOW,0.7,2.0,2,1181,501,42.4,-38.95,-0.033,0.932,10,-0.0286
BTC,BTC_FOLLOW,0.7,2.0,3,1027,409,39.8,-24.04,-0.0234,0.959,12,-0.0178
BTC,BTC_FOLLOW,0.7,2.0,4,949,371,39.1,-18.48,-0.0195,0.967,12,-0.0144
BTC,BTC_FOLLOW,0.7,2.5,1,1613,691,42.8,-31.44,-0.0195,0.946,10,-0.0206
BTC,BTC_FOLLOW,0.7,2.5,2,1170,488,41.7,-53.26,-0.0455,0.907,10,-0.0385
BTC,BTC_FOLLOW,0.7,2.5,3,999,388,38.8,-43.74,-0.0438,0.924,12,-0.0325
BTC,BTC_FOLLOW,0.7,2.5,4,924,355,38.4,8.31,0.009,1.015,14,0.0062
BTC,BTC_FOLLOW,0.8,1.0,1,1672,754,45.1,-62.56,-0.0374,0.895,10,-0.0439
BTC,BTC_FOLLOW,0.8,1.0,2,1278,623,48.7,-34.12,-0.0267,0.941,9,-0.026
BTC,BTC_FOLLOW,0.8,1.0,3,1134,564,49.7,-41.59,-0.0367,0.93,11,-0.0324
BTC,BTC_FOLLOW,0.8,1.0,4,1059,529,50.0,-61.33,-0.0579,0.897,10,-0.0494
BTC,BTC_FOLLOW,0.8,1.2,1,1672,742,44.4,-60.53,-0.0362,0.9,11,-0.0411
BTC,BTC_FOLLOW,0.8,1.2,2,1241,577,46.5,-29.73,-0.024,0.95,10,-0.0219
BTC,BTC_FOLLOW,0.8,1.2,3,1091,499,45.7,-51.66,-0.0473,0.915,12,-0.0393
BTC,BTC_FOLLOW,0.8,1.2,4,1009,468,46.4,-57.55,-0.057,0.903,10,-0.0459
BTC,BTC_FOLLOW,0.8,1.5,1,1672,736,44.0,-41.61,-0.0249,0.931,11,-0.0269
BTC,BTC_FOLLOW,0.8,1.5,2,1217,536,44.0,-43.27,-0.0356,0.928,10,-0.031
BTC,BTC_FOLLOW,0.8,1.5,3,1053,454,43.1,-46.95,-0.0446,0.923,12,-0.0346
BTC,BTC_FOLLOW,0.8,1.5,4,960,413,43.0,-68.09,-0.0709,0.885,10,-0.0536
BTC,BTC_FOLLOW,0.8,1.8,1,1672,733,43.8,-26.73,-0.016,0.956,11,-0.0167
BTC,BTC_FOLLOW,0.8,1.8,2,1206,524,43.4,-28.48,-0.0236,0.952,10,-0.0198
BTC,BTC_FOLLOW,0.8,1.8,3,1030,438,42.5,-7.45,-0.0072,0.987,12,-0.0053
BTC,BTC_FOLLOW,0.8,1.8,4,935,388,41.5,-30.04,-0.0321,0.949,10,-0.0227
BTC,BTC_FOLLOW,0.8,2.0,1,1672,729,43.6,-33.12,-0.0198,0.946,11,-0.0205
BTC,BTC_FOLLOW,0.8,2.0,2,1202,520,43.3,-25.99,-0.0216,0.956,10,-0.0178
BTC,BTC_FOLLOW,0.8,2.0,3,1015,434,42.8,10.16,0.01,1.017,12,0.0072
BTC,BTC_FOLLOW,0.8,2.0,4,920,378,41.1,-36.28,-0.0394,0.938,10,-0.0272
BTC,BTC_FOLLOW,0.8,2.5,1,1672,728,43.5,-38.75,-0.0232,0.936,11,-0.0239
BTC,BTC_FOLLOW,0.8,2.5,2,1192,503,42.2,-39.63,-0.0332,0.934,10,-0.0266
BTC,BTC_FOLLOW,0.8,2.5,3,993,415,41.8,3.73,0.0038,1.006,12,0.0026
BTC,BTC_FOLLOW,0.8,2.5,4,897,365,40.7,-22.75,-0.0254,0.96,10,-0.0168
BTC,BTC_FOLLOW,0.9,1.0,1,1707,762,44.6,-61.81,-0.0362,0.901,10,-0.0405
BTC,BTC_FOLLOW,0.9,1.0,2,1271,602,47.4,-56.46,-0.0444,0.907,10,-0.0411
BTC,BTC_FOLLOW,0.9,1.0,3,1109,535,48.2,-45.79,-0.0413,0.926,8,-0.034
BTC,BTC_FOLLOW,0.9,1.0,4,1016,501,49.3,-75.92,-0.0747,0.877,10,-0.0589
BTC,BTC_FOLLOW,0.9,1.2,1,1707,757,44.3,-47.29,-0.0277,0.925,10,-0.0298
BTC,BTC_FOLLOW,0.9,1.2,2,1232,552,44.8,-67.09,-0.0545,0.891,10,-0.0476
BTC,BTC_FOLLOW,0.9,1.2,3,1069,486,45.5,-52.55,-0.0492,0.916,9,-0.0381
BTC,BTC_FOLLOW,0.9,1.2,4,977,455,46.6,-50.18,-0.0514,0.918,11,-0.0379
BTC,BTC_FOLLOW,0.9,1.5,1,1707,751,44.0,-32.81,-0.0192,0.948,10,-0.0199
BTC,BTC_FOLLOW,0.9,1.5,2,1215,535,44.0,-59.99,-0.0494,0.903,10,-0.0414
BTC,BTC_FOLLOW,0.9,1.5,3,1039,464,44.7,-19.57,-0.0188,0.968,11,-0.0138
BTC,BTC_FOLLOW,0.9,1.5,4,939,421,44.8,-15.45,-0.0165,0.974,11,-0.0113
BTC,BTC_FOLLOW,0.9,1.8,1,1707,745,43.6,-44.61,-0.0261,0.929,10,-0.0267
BTC,BTC_FOLLOW,0.9,1.8,2,1206,524,43.4,-61.1,-0.0507,0.901,14,-0.0411
BTC,BTC_FOLLOW,0.9,1.8,3,1023,449,43.9,11.97,0.0117,1.02,11,0.0082
BTC,BTC_FOLLOW,0.9,1.8,4,917,402,43.8,-26.95,-0.0294,0.955,11,-0.0194
BTC,BTC_FOLLOW,0.9,2.0,1,1707,744,43.6,-49.18,-0.0288,0.922,10,-0.0294
BTC,BTC_FOLLOW,0.9,2.0,2,1201,513,42.7,-72.95,-0.0607,0.883,14,-0.0487
BTC,BTC_FOLLOW,0.9,2.0,3,1010,436,43.2,-3.23,-0.0032,0.995,11,-0.0022
BTC,BTC_FOLLOW,0.9,2.0,4,905,389,43.0,-18.55,-0.0205,0.969,11,-0.0132
BTC,BTC_FOLLOW,0.9,2.5,1,1707,744,43.6,-48.59,-0.0285,0.923,10,-0.0289
BTC,BTC_FOLLOW,0.9,2.5,2,1195,507,42.4,-67.35,-0.0564,0.892,14,-0.0437
BTC,BTC_FOLLOW,0.9,2.5,3,996,431,43.3,21.67,0.0218,1.037,11,0.0143
BTC,BTC_FOLLOW,0.9,2.5,4,880,372,42.3,-17.84,-0.0203,0.969,11,-0.0127
BTC,BTC_FOLLOW,1.0,1.0,1,1746,786,45.0,-52.45,-0.03,0.918,10,-0.0325
BTC,BTC_FOLLOW,1.0,1.0,2,1278,599,46.9,-44.43,-0.0348,0.929,9,-0.0302
BTC,BTC_FOLLOW,1.0,1.0,3,1083,519,47.9,-44.44,-0.041,0.93,8,-0.0315
BTC,BTC_FOLLOW,1.0,1.0,4,991,490,49.4,-49.73,-0.0502,0.92,9,-0.0369
BTC,BTC_FOLLOW,1.0,1.2,1,1746,779,44.6,-44.08,-0.0252,0.932,10,-0.0264
BTC,BTC_FOLLOW,1.0,1.2,2,1248,557,44.6,-59.99,-0.0481,0.906,10,-0.0397
BTC,BTC_FOLLOW,1.0,1.2,3,1055,487,46.2,-42.33,-0.0401,0.934,9,-0.0291
BTC,BTC_FOLLOW,1.0,1.2,4,959,457,47.7,-32.31,-0.0337,0.948,9,-0.0233
BTC,BTC_FOLLOW,1.0,1.5,1,1746,771,44.2,-37.58,-0.0215,0.942,10,-0.0218
BTC,BTC_FOLLOW,1.0,1.5,2,1231,544,44.2,-55.53,-0.0451,0.913,13,-0.0361
BTC,BTC_FOLLOW,1.0,1.5,3,1033,460,44.5,-16.98,-0.0164,0.973,9,-0.0113
BTC,BTC_FOLLOW,1.0,1.5,4,926,417,45.0,-27.41,-0.0296,0.956,12,-0.0191
BTC,BTC_FOLLOW,1.0,1.8,1,1746,770,44.1,-40.48,-0.0232,0.937,10,-0.0233
