trade_id,coin,direction,leverage,entry_price,sl,tp,margin,fill_time_utc,close_time_utc,hold_minutes,exit_reason,roi_pct,pnl,peak_roi,peak_time_utc,peak_minutes,worst_roi,tp_target_roi,tp_distance_reached_pct,would_hit_tp_after_sl,category,category_desc,trailing_roi,trailing_pnl,trailing_saved
65,ADA,SHORT,8,0.2496,0.2515,0.2458,349.97,2026-04-16 12:06,2026-04-16 13:45,100,STOP_LOSS,-6.1,-23.42,13.46,2026-04-16 14:00,114,-15.71,12.18,100,True,B,COULD-HAVE-WON (trailing would save),2.24,7.85,31.27
66,POL,LONG,8,0.0831,0.0826,0.0842,351.55,2026-04-15 06:05,2026-04-16 13:58,1913,STOP_LOSS,-4.8,-20.25,55.84,2026-04-16 13:00,1855,0.0,10.59,100,True,B,COULD-HAVE-WON (trailing would save),2.41,8.46,28.71
67,POL,LONG,8,0.0879,0.0873,0.0889,355.17,2026-04-16 12:13,2026-04-16 14:01,108,NEWS_REACTION,0.6,2.26,9.1,2026-04-16 13:00,46,-14.56,9.1,100,False,F,TIME_EXIT OK (profit),,,
68,CRV,SHORT,8,0.2253,0.2269,0.2221,349.21,2026-04-16 13:58,2026-04-16 14:01,3,NEWS_REACTION,1.8,6.2,11.72,2026-04-16 14:00,1,-23.79,11.36,100,False,F,TIME_EXIT OK (profit),,,
69,LDO,LONG,7,0.3861,0.38,0.3983,349.97,2026-04-16 06:58,2026-04-16 14:01,423,NEWS_REACTION,-2.5,-8.68,62.0,2026-04-16 15:00,481,-3.99,22.12,100,False,G,TIME_EXIT LOST (loss),,,
70,PENDLE,SHORT,7,1.1664,1.1806,1.138,348.92,2026-04-16 13:58,2026-04-16 14:02,3,NEWS_REACTION,0.2,0.63,11.04,2026-04-16 14:00,1,-30.37,17.04,64.8,False,F,TIME_EXIT OK (profit),,,
71,ETH,SHORT,8,2303.53,2314.047,2282.4959,345.53,2026-04-16 13:58,2026-04-16 14:02,4,NEWS_REACTION,-0.2,-0.65,6.4,2026-04-16 14:00,1,-16.76,7.3,87.6,False,G,TIME_EXIT LOST (loss),,,
72,LDO,SHORT,7,0.3968,0.4032,0.3841,351.39,2026-04-16 13:58,2026-04-16 14:03,5,STOP_LOSS,-2.5,-11.39,10.41,2026-04-16 14:00,1,-41.46,22.4,46.5,False,B,COULD-HAVE-WON (trailing would save),4.59,16.12,27.51
73,CRV,SHORT,8,0,0,0,350,,2026-04-16 14:03,,TARGET_HIT,1.8,3.13,0,,0,0,,0,,A,WINNER (TP hit),,,
74,POL,SHORT,7,0.0875,0.088,0.0864,353.62,2026-04-16 13:58,2026-04-16 14:03,5,TARGET_HIT,0.8,0.11,9.6,2026-04-16 14:00,1,-11.2,8.8,100,False,A,WINNER (TP hit),,,
75,SOL,SHORT,8,85.27,85.7218,84.3663,349.61,2026-04-16 12:04,2026-04-16 14:03,120,STOP_LOSS,-4.0,-17.03,13.79,2026-04-16 13:00,56,-17.45,8.48,100,False,B,COULD-HAVE-WON (trailing would save),6.9,24.11,41.14
76,BNB,SHORT,8,617.5,619.9926,612.5149,347.34,2026-04-16 14:36,2026-04-16 15:04,28,STOP_LOSS,-2.7,-12.51,2.85,2026-04-16 14:00,-36,-13.59,6.46,44.1,False,E,TOO WIDE TP (tighter TP captures),,,
77,UNI,SHORT,8,3.264,3.2919,3.2082,349.66,2026-04-16 14:36,2026-04-16 15:04,28,STOP_LOSS,-3.2,-14.24,6.62,2026-04-16 14:00,-36,-37.01,13.68,48.4,False,B,COULD-HAVE-WON (trailing would save),3.31,11.57,25.81
78,AVAX,SHORT,8,9.35,9.4372,9.1757,349.46,2026-04-16 14:38,2026-04-16 15:06,28,STOP_LOSS,-7.4,-28.12,7.7,2026-04-16 14:00,-38,-25.67,14.91,51.6,False,B,COULD-HAVE-WON (trailing would save),3.85,13.46,41.58
79,CRV,SHORT,8,0.2242,0.2261,0.2204,349.98,2026-04-16 14:36,2026-04-16 15:07,31,STOP_LOSS,-4.3,-18.08,7.85,2026-04-16 14:00,-36,-30.69,13.56,57.9,False,B,COULD-HAVE-WON (trailing would save),3.93,13.74,31.82
80,BTC,SHORT,8,73921.9,74295.148,73175.4041,351.13,2026-04-16 14:36,2026-04-16 15:09,33,STOP_LOSS,-4.1,-17.47,5.36,2026-04-16 14:00,-36,-10.93,8.08,66.3,False,B,COULD-HAVE-WON (trailing would save),2.68,9.4,26.87
81,LINK,SHORT,8,9.277,9.3525,9.1259,349.05,2026-04-16 15:08,2026-04-16 15:34,25,PROFI_EXIT,-3.6,-12.64,4.92,2026-04-16 15:00,-9,-18.37,13.03,37.7,False,G,TIME_EXIT LOST (loss),,,
