trade_id,coin,direction,filled_at,fill_price,pnl_usd,pnl_pct,exit_reason,is_win,profi_conf,macro,ema_4h,ob,funding,rsi,coin_wr,entry_dist,checklist_score,checklist_pct,rsi_value,btc_7d_pct
3d259202,BTC,LONG,2026-04-15T02:26:42.053661+00:00,74351.0,-12.441199999999778,-0.004403437747979102,TIME_EXIT,0,0.67,1,1,0,1,1,0,1,5,0.7142857142857143,48.66478778342447,0.041435752625869196
9c7a3170,AVAX,LONG,2026-04-15T02:31:54.566972+00:00,9.311,14.19400000000018,0.0050477929330899575,TIME_EXIT,1,0.65,1,1,0,0,1,1,1,5,0.7142857142857143,45.94594594594588,0.041435752625869196
e56aaa60,ADA,SHORT,2026-04-15T03:33:20.127392+00:00,0.2399,-23.34310236,-0.0075031263026260776,STOP_LOSS,0,0.66,0,1,1,0,0,0,1,3,0.42857142857142855,12.711864406779483,0.04290492329709366
ac0e43f4,LINK,SHORT,2026-04-15T03:56:59.012042+00:00,9.0638,10.82280000000019,0.003839449237626669,TIME_EXIT,1,0.67,0,0,1,0,1,0,1,3,0.42857142857142855,33.92857142857132,0.04290492329709366
1cffdce6,ETH,SHORT,2026-04-15T04:02:11.281737+00:00,2329.93,15.923999999999978,0.005695450077899329,TIME_EXIT,1,0.68,0,0,0,1,1,0,1,3,0.42857142857142855,42.5146957783036,0.038764120147254076
98190054,CRV,LONG,2026-04-15T04:12:58.350124+00:00,0.2182,-23.81911656,-0.007336084364970154,STOP_LOSS,0,0.72,1,1,0,0,1,0,1,4,0.5714285714285714,48.5915492957747,0.038764120147254076
3e6d87f9,ETH,LONG,2026-04-15T21:16:41.610362+00:00,2352.84,-6.4758678,-0.0011943115070425893,STOP_LOSS,0,0.67,1,1,1,0,1,0,1,5,0.7142857142857143,67.53532182103615,0.044607239635736026
89c9dc53,BTC,LONG,2026-04-15T21:16:42.659315+00:00,74632.1,-4.43323884,-0.00046367582359420887,STOP_LOSS,0,0.68,1,1,1,1,1,0,1,6,0.8571428571428571,66.5558225840733,0.044607239635736026
ad234d1c,CRV,LONG,2026-04-15T22:25:51.956186+00:00,0.2235,-28.39206969,-0.009395973154362374,STOP_LOSS,0,0.7,1,1,0,0,1,0,1,4,0.5714285714285714,66.46706586826343,0.05486763918697352
c3986df8,LINK,LONG,2026-04-15T23:01:27.006162+00:00,9.26,-4.832000000000004,-0.0017278617710583168,TIME_EXIT,0,0.72,1,1,0,0,1,0,1,4,0.5714285714285714,72.093023255814,0.05262506942106194
44cb4f50,LDO,SHORT,2026-04-15T23:15:01.403596+00:00,0.3748,-48.34566942,-0.01894343649946637,STOP_LOSS,0,0.66,0,0,1,1,1,0,0,3,0.42857142857142855,68.35066864784548,0.05262506942106194
995af159,ETH,LONG,2026-04-15T23:16:02.591765+00:00,2355.93,-5.928000000000066,-0.002096836493444226,TIME_EXIT,0,0.68,1,1,0,0,1,0,1,4,0.5714285714285714,67.41856819369451,0.05262506942106194
a5b5fdc8,BNB,LONG,2026-04-15T23:16:03.709757+00:00,622.05,1.125,0.0004018969536210916,TIME_EXIT,1,0.72,1,1,0,0,1,0,1,4,0.5714285714285714,68.66383881230114,0.05262506942106194
76864787,ADA,LONG,2026-04-15T23:36:00.586718+00:00,0.2453,30.81780000000009,0.011006930289441533,TIME_EXIT,1,0.65,1,1,0,0,1,0,1,4,0.5714285714285714,68.71165644171786,0.05262506942106194
0c11fe52,UNI,LONG,2026-04-16T01:06:50.831361+00:00,3.1993,40.752075,0.015317286652078894,TARGET_HIT,1,0.67,1,1,0,0,1,0,1,4,0.5714285714285714,60.897435897435905,0.052570539310568716
fb1e0808,AVAX,LONG,2026-04-16T01:06:51.809165+00:00,9.3506,42.4295352,0.015934124692546157,TARGET_HIT,1,0.68,1,1,0,0,1,1,1,5,0.7142857142857143,44.827586206896484,0.052570539310568716
1803c0aa,PENDLE,LONG,2026-04-16T01:06:52.781347+00:00,1.0866,58.91831064,0.02181115405853125,TARGET_HIT,1,0.7,1,1,1,0,1,1,0,5,0.7142857142857143,67.67676767676764,0.052570539310568716
86245730,BTC,LONG,2026-04-16T02:15:49.132130+00:00,74572.0,14.063800000000219,0.004962988789358014,TIME_EXIT,1,0.66,1,1,0,1,1,0,1,5,0.7142857142857143,60.99199793587601,0.05384978238304645
a421d960,PENDLE,SHORT,2026-04-16T05:36:03.687850+00:00,1.1405,-25.90817718,-0.009820254274440925,STOP_LOSS,0,0.65,0,0,1,1,1,1,0,4,0.5714285714285714,86.79245283018868,0.057188662233742756
1278256b,CRV,LONG,2026-04-16T05:36:04.698912+00:00,0.2253,-14.31394403,-0.004005340453938637,STOP_LOSS,0,0.72,1,1,1,0,1,0,1,5,0.7142857142857143,68.69565217391298,0.057188662233742756
